block,trial,event,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue,blink
1,1,baseline,nan,-1.6629015746875666,nan,nan,nan,nan,nan,1790.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.660899288195651,nan,nan,nan,nan,nan,1790.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6588975551421754,nan,nan,nan,nan,nan,1790.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6568966524209827,nan,nan,nan,nan,nan,1792.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6548968566348776,nan,nan,nan,nan,nan,1793.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.652896230632905,nan,nan,nan,nan,nan,1794.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.6508950511342846,nan,nan,nan,nan,nan,1794.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.6488938716356643,nan,nan,nan,nan,nan,1794.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6468937991303392,nan,nan,nan,nan,nan,1794.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6448931731283665,nan,nan,nan,nan,nan,1787.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6428928238456137,nan,nan,nan,nan,nan,1787.0,-7.0,nan,nan,nan
1,1,baseline,nan,-1.6408930281177163,nan,nan,nan,nan,nan,1786.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6388929556123912,nan,nan,nan,nan,nan,1786.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.6368928830488585,nan,nan,nan,nan,nan,1786.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.634890319837723,nan,nan,nan,nan,nan,1786.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6328896938357502,nan,nan,nan,nan,nan,1786.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6308885142789222,nan,nan,nan,nan,nan,1786.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6288859510677867,nan,nan,nan,nan,nan,1793.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.626884218014311,nan,nan,nan,nan,nan,1793.0,7.0,nan,nan,nan
1,1,baseline,nan,-1.6248819315223955,nan,nan,nan,nan,nan,1790.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6228832427877933,nan,nan,nan,nan,nan,1789.0,-3.0,nan,nan,nan
1,1,baseline,nan,-1.6208801260218024,nan,nan,nan,nan,nan,1789.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.6188797767390497,nan,nan,nan,nan,nan,1790.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6168783204630017,nan,nan,nan,nan,nan,1791.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.6148771409643814,nan,nan,nan,nan,nan,1790.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.6128770684590563,nan,nan,nan,nan,nan,1790.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.610875612241216,nan,nan,nan,nan,nan,1796.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.608874155965168,nan,nan,nan,nan,nan,1796.0,6.0,nan,nan,nan
1,1,baseline,nan,-1.6068735299631953,nan,nan,nan,nan,nan,1795.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6048731806804426,nan,nan,nan,nan,nan,1795.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.6028722779010423,nan,nan,nan,nan,nan,1798.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.600869437912479,nan,nan,nan,nan,nan,1800.0,3.0,nan,nan,nan
1,1,baseline,nan,-1.5988685351330787,nan,nan,nan,nan,nan,1800.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.5968670789152384,nan,nan,nan,nan,nan,1797.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5948664529132657,nan,nan,nan,nan,nan,1797.0,-3.0,nan,nan,nan
1,1,baseline,nan,-1.5928641663631424,nan,nan,nan,nan,nan,1796.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.590862986864522,nan,nan,nan,nan,nan,1796.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.588862637639977,nan,nan,nan,nan,nan,1796.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5868620115797967,nan,nan,nan,nan,nan,1794.0,0.0,nan,nan,nan
