order,block_display,block_file,break_display,valmean,valence,scenestim,arousal,outliers,blocknum,arousalmean,Introduction_Loop.thisRepN,Introduction_Loop.thisTrialN,Introduction_Loop.thisN,Introduction_Loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,Trial_Loop.thisRepN,Trial_Loop.thisTrialN,Trial_Loop.thisN,Trial_Loop.thisIndex,Break_loop.thisRepN,Break_loop.thisTrialN,Break_loop.thisN,Break_loop.thisIndex,block_key.keys,block_key.rt,Break_key.keys,Break_key.rt,date,frameRate,expName,Participant,
2,cont_inst,procedure\2.csv,blank,5.79,Neutral,5455.bmp,High,0,2,4.56,,,,,0,2,2,2,0,20,20,10,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,6.86,Positive,1601.bmp,Low,1,2,3.92,,,,,0,2,2,2,0,21,21,15,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,1.79,Negative,2095.bmp,High,0,2,5.25,,,,,0,2,2,2,0,22,22,0,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,5.31,Neutral,2745.1.bmp,Low,0,2,3.26,,,,,0,2,2,2,0,23,23,25,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,6.6,Positive,4617.bmp,High,0,2,5.19,,,,,0,2,2,2,0,24,24,8,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,4.62,Neutral,2410.bmp,Low,0,2,4.13,,,,,0,2,2,2,0,25,25,21,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,3.04,Negative,2691.bmp,High,1,2,5.85,,,,,0,2,2,2,0,26,26,3,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,8.06,Positive,2260.bmp,Low,0,2,4.26,,,,,0,2,2,2,0,27,27,19,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,2.2,Negative,2375.1.bmp,High,0,2,4.88,,,,,0,2,2,2,0,28,28,2,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,3.36,Negative,2278.bmp,High,0,2,4.55,,,,,0,2,2,2,0,29,29,1,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,,,,,,,,,,,,0,2,2,2,,,,,0,0,0,0,,,None,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
