2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 57861
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 53031
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 54952
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 55797
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 56240
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 51076
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 54669
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 53553
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 57681
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 58740
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 53535
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 52260
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 62203
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 63640
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 64546
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 64093
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65264
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 64665
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 62944
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 62205
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
